Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
19,Andhra Pradesh,772.62,800,0,-5,757.48,0,16,80,605.984
19,Assam,103.79,800,4,-7,102.77,0,26.2006043,92.9375739,82.216
19,Bihar,108.38,800,0,-4,107.31,0,25.11,85.32,85.848
19,Delhi,1059.62,800,1,-2,1059.62,0,28.38,77.12,847.696
19,Gujarat,350.65,800,0,-2,347.18,0,23,72,277.744
19,Haryana,77.07,800,1,-5,70.71,0,29.3,76,56.568
19,Himachal Pradesh,26.66,800,0,-7,24.46,0,31.79,77.1,19.568
19,Kashmir,36.05,800,2,-5,35.35,0,33.94,76.54,28.28
19,Karnataka,378.75,800,0,-1,0,0,15,75,0
19,Kolkata,185.58,800,0,-1,183.75,0,22.56263,88.36304,147
19,Madhya Pradesh,510.49,800,4,-1,510.49,0,23.3,80,408.392
19,Maharashtra,999.27,800,2,-1,999.27,0,20,76,799.416
19,Mumbai,918.46,800,0,-6,909.37,0,19.07283,72.88261,727.496
19,North East,31.72,800,8,-3,31.72,0,28,95,25.376
19,Odisha,53.86,800,0,-6,51.3,0,26,94.2,41.04
19,Punjab,112.67,800,0,-3,107.31,0,30.8,75.5,85.848
19,Tamil Nadu,450,800,0,-1,0,0,11,78,0
19,Uttar Pradesh E,169.17,800,0,-3,167.5,0,26,82,134
19,Uttar Pradesh W,119.93,800,0,-1,118.75,0,28,80,95
19,West Bengal,71.96,800,0,-1,71.25,0,23,87,57
19,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
19,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
19,Bihar,88.86,900,8,-23,88.86,0,25.11,85.32,444.3
19,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
19,Haryana,30.24,900,61,-1,30.24,0,29.3,76,151.2
19,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
19,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
19,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
19,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
19,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
19,North East,10.48,900,0,-44,10.38,0,28,95,51.9
19,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
19,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
19,Rajasthan,143.14,900,32,-30,141.73,0,27,74,708.65
19,Uttar Pradesh E,155.12,900,28,-3,155.12,0,26,82,775.6
19,Uttar Pradesh W,147.71,900,25,-6,147.71,0,28,80,738.55
19,West Bengal,41.91,900,0,-22,41.5,0,23,87,207.5
19,Andhra Pradesh,49.04,1800,6,-13,48.56,0,16,80,242.8
19,Bihar,12.4,1800,0,-10,0,0,25.11,85.32,0
19,Gujarat,48.07,1800,0,-17,47.6,0,23,72,238
19,Haryana,9.59,1800,23,-17,9.32,0,29.3,76,46.6
19,Himachal Pradesh,3.21,1800,0,-51,3.18,0,31.79,77.1,15.9
19,Karnataka,37.37,1800,0,-9,37,0,15,75,185
19,Kerala,16.85,1800,0,-5,16.69,0,10,76.25,83.45
19,Kolkata,31.01,1800,0,-35,29.82,0,22.56263,88.36304,149.1
19,North East,2.2,1800,38,-4,2.2,0,28,95,11
19,Odisha,6.68,1800,25,-56,6.62,0,26,94.2,33.1
19,Punjab,14.34,1800,3,-5,14.2,0,30.8,75.5,71
19,Rajasthan,15.27,1800,0,-52,14.55,0,27,74,72.75
19,Tamil Nadu,45,1800,85,-10,45,0,11,78,225
19,Uttar Pradesh E,22.03,1800,15,-6,21.39,0,26,82,106.95
19,Uttar Pradesh W,19.38,1800,0,-11,19.19,0,28,80,95.95
19,Andhra Pradesh,1375,2100,0,-1,0,0,16,80,0
19,Assam,195.11,2100,0,-1,193.18,0,26.2006043,92.9375739,38.636
19,Delhi,3315,2100,0,-1,0,0,28.38,77.12,0
19,Gujarat,1302.9,2100,0,-1,1290,0,23,72,258
19,Haryana,232.3,2100,0,-1,230,0,29.3,76,46
19,Karnataka,1658.78,2100,0,-1,1642.36,0,15,75,328.472
19,Kerala,594.45,2100,0,-1,588.57,0,10,76.25,117.714
19,Kolkata,583.74,2100,0,-1,577.97,0,22.56263,88.36304,115.594
19,Madhya Pradesh,461.31,2100,0,-1,456.75,0,23.3,80,91.35
19,Maharashtra,1520.05,2100,0,-1,1505,0,20,76,301
19,Mumbai,3245,2100,0,-1,0,0,19.07283,72.88261,0
19,North East,55.9,2100,0,-1,55.35,0,29,95,11.07
19,Odisha,182.06,2100,0,-1,180.26,0,26,94.2,36.052
19,Rajasthan,706.11,2100,0,-1,699.12,0,27,74,139.824
19,Tamil Nadu,1737.2,2100,0,-1,1720,0,11,78,344
19,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,26,82,90.3
19,Uttar Pradesh W,530.6,2100,0,-1,525.35,0,28,80,105.07
